Date,Song Title,Artist,Album,Duration
2025-04-04,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-04-04,Morena,Neton Vega,Neton Vega,3:13
2025-04-04,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-04-04,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-04-04,Loco,Neton Vega,Neton Vega,3:06
2025-04-04,Te Quería Ver,Alemán,Alemán,2:56
2025-04-04,Pika Pika,Chuyin,Chuyin,2:27
2025-04-04,TATTOO,Tito Double P,Tito Double P,2:47
2025-04-04,M&M,Neton Vega,Neton Vega,2:46
2025-04-04,NADIE,Tito Double P,Tito Double P,3:17
2025-04-04,COMO CAPO,Clave Especial,Clave Especial,2:45
2025-04-04,COQUETA,Fuerza Regida,Fuerza Regida,4:01
2025-04-04,Mi Vida Mi Muerte,Neton Vega,Neton Vega,2:55
2025-04-04,El Mayor de los Ranas,Victor Valverde,Victor Valverde,2:52
2025-04-04,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-04-04,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-04-04,gervonta,Peso Pluma,Peso Pluma,2:47
2025-04-04,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-04-04,EL LOKERON,Tito Double P,Tito Double P,2:25
2025-04-04,HOLLYWOOD,Peso Pluma,Peso Pluma,4:44
2025-04-04,ROSONES,Tito Double P,Tito Double P,2:57
2025-04-04,Presidente,Gabito Ballesteros,Gabito Ballesteros,3:01
2025-04-04,EoO,Bad Bunny,Bad Bunny,3:24
2025-04-04,Amigos? No.,Óscar Maydon,Óscar Maydon,3:46
2025-04-04,DtMF,Bad Bunny,Bad Bunny,3:57
