Date,Song Title,Artist,Album,Duration
2025-03-05,CIEL,GIMS,GIMS,3:06
2025-03-05,NINAO,GIMS,GIMS,2:47
2025-03-05,Mood,KeBlack,KeBlack,2:51
2025-03-05,APT.,ROSÉ,ROSÉ,2:49
2025-03-05,4 Kampé,Joé Dwèt Filé,Joé Dwèt Filé,3:34
2025-03-05,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-05,SOIS PAS TIMIDE,GIMS,GIMS,2:45
2025-03-05,Pélican,L2B,L2B,2:45
2025-03-05,GAUCHE DROITE,Vald,Vald,3:25
2025-03-05,Feel Good,Charlotte Cardin,Charlotte Cardin,2:43
2025-03-05,Chambre 04,Dj Kawest,Dj Kawest,2:09
2025-03-05,Messy,Lola Young,Lola Young,4:44
2025-03-05,CARTIER SANTOS,SDM,SDM,3:03
2025-03-05,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-05,SPIDER,GIMS,GIMS,3:08
2025-03-05,That’s So True,Gracie Abrams,Gracie Abrams,2:46
2025-03-05,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-05,Carré OK (feat. GIMS),Soolking,Soolking,2:40
2025-03-05,La Pluie,Franglish,Franglish,3:56
2025-03-05,NUEVAYoL,Bad Bunny,Bad Bunny,3:03
2025-03-05,Alpha,Damso,Damso,2:48
2025-03-05,DIANA,GIMS,GIMS,2:19
2025-03-05,Si Antes Te Hubiera Conocido,KAROL G,KAROL G,3:15
2025-03-05,Run,Rim'K,Rim'K,2:59
2025-03-05,NANANI NANANA,Gazo,Gazo,3:37
